"","Version","Plan","Plan","Plan","Plan","Plan","Plan","Plan","Plan","Plan","Plan","Plan","Plan"
"","Financial Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"Cost Center","G/L Account","","","","","","","","","","","",""
"Mav CC 1","COGS","3417559","3452081","3273951","3498477","3285378","3348332","3493332","3467064","3414238","3179477","3167538","3468856"
"Mav CC 1","Cost of Goods Sold","2590562","2579543","2478132","2583540","2421002","2452330","2766273","2671452","2489957","2381048","2375814","2553637"
"Mav CC 1","Gross Profit Diff","416236","391316","393452","439854","432715","390758","474435","455189","449424","382767","391840","453712"
"Mav CC 1","Cost of Goods Sold","443876","399140","417068","388938","372247","395728","467022","450963","462460","409550","370624","417969"
"Mav CC 1","Price Dif - Trd Art","460190","478531","363483","472349","377529","479822","443070","411338","376129","362474","365616","359646"
"Mav CC 1","SIS Purchase Offset","435519","451000","418218","376518","456778","425769","461283","442923","354256","442574","422537","460958"
"Mav CC 1","Excess Margin Reimbu","351152","386823","411242","431357","411383","387902","456076","472479","437013","366890","440551","411566"
"Mav CC 1","Brand Management Fee","483589","472733","474669","474524","370350","372351","464387","438560","410675","416793","384646","449786"
"Mav CC 1","FOC Goods","826997","872538","795819","914937","864376","896002","727059","795612","924281","798429","791724","915219"
"Mav CC 1","COGS - FOC","383654","428469","356128","454093","438598","477477","352663","432799","443379","357736","381630","458934"
"Mav CC 1","Advertisement & Promotions Goods","443343","444069","439691","460844","425778","418525","374396","362813","480902","440693","410094","456285"
"Mav CC 1","Other Operational Expenses","22318495","22241501","22278756","22545213","22263906","22678857","22568099","22309463","22498226","22610845","22374670","23112436"
"Mav CC 1","Insurance - Property / Risk","482045","452712","440710","479114","369747","444233","398268","374928","475967","370925","383704","444547"
"Mav CC 1","Fines - Mnplty & Gvt","483662","419519","396163","451007","473119","428320","379770","388529","390052","391527","474706","458951"
"Mav CC 1","Communication & Utilities","2591260","2391101","2419005","2541937","2550338","2507261","2579157","2431645","2494426","2639610","2585392","2383022"
"Mav CC 1","Leased Line Chrgs","408095","481810","378613","414744","400407","398975","385552","363891","388049","475080","463661","362920"
"Mav CC 1","Internet Exp","428628","405612","392586","442391","409953","368981","440434","401394","392902","466827","445077","397364"
"Mav CC 1","Postage & Courier","429508","368659","469231","381560","456248","457011","383280","391563","455627","383589","477607","370425"
"Mav CC 1","Electricity Charges","438583","363298","360949","455460","390595","384303","484812","408683","398565","434033","436498","393683"
"Mav CC 1","Water Charges","483320","375236","446439","430910","425709","484615","447295","443878","375421","433647","391813","400955"
"Mav CC 1","Handset Allowance","403126","396486","371187","416872","467426","413376","437784","422236","483862","446434","370736","457675"
"Mav CC 1","Direct Expense","2354912","2483325","2509192","2453829","2537964","2616598","2470833","2485004","2487644","2540170","2493362","2632050"
"Mav CC 1","Price Dif - Art Revl","400944","469215","433491","472669","474314","425735","356130","378996","397815","463289","467127","463146"
"Mav CC 1","Carriage Inwards","413875","359358","436239","442858","388886","447586","405232","480075","428203","409873","436745","412706"
"Mav CC 1","Cnsmptn Art - Sample","358974","399324","395535","355614","421749","447592","385456","350858","433367","398965","454318","423316"
"Mav CC 1","GR W/O PO","375151","477471","379441","370663","433542","479839","417158","353908","362758","462774","399744","418248"
"Mav CC 1","Loading & Unloading","443608","355375","418397","400498","393078","465822","444055","479920","404598","441704","377588","448358"
"Mav CC 1","Demurrage Charges","362360","422582","446089","411527","426395","350024","462802","441247","460903","363565","357840","466276"
"Mav CC 1","Goods Damage / Expiry / Shortage","1340759","1220742","1196553","1194942","1262538","1232928","1311360","1141551","1338048","1234107","1209912","1338287"
"Mav CC 1","Procurement Loss","462725","361168","372179","380832","397859","448882","440275","353532","450977","477534","406036","411164"
"Mav CC 1","Goods Damage - WH/St","449165","388198","369148","429311","451891","423914","388326","409813","484533","376982","444110","464139"
"Mav CC 1","Goods Expiry A/c","428869","471376","455226","384799","412788","360132","482759","378206","402538","379591","359766","462984"
"Mav CC 1","Miscellaneous Expenses","2186741","1982871","2015876","2129305","2106565","2063935","2052331","2101001","2149980","2035024","2094083","2147043"
"Mav CC 1","Diff - Rounding Off","481316","392778","454417","477948","468955","429207","419731","423627","430615","431525","465335","438596"
"Mav CC 1","Cash Short","464706","454469","403132","426278","362078","461443","398795","390378","472804","363735","439057","455016"
"Mav CC 1","Donation","383748","369928","364617","372063","470825","411513","404788","425988","392147","466433","415967","480675"
"Mav CC 1","Other Exp","395712","350581","405822","395166","441649","388999","459318","383357","468768","373719","407359","383197"
"Mav CC 1","Small Diff - Inv","461259","415115","387888","457850","363058","372773","369699","477651","385646","399612","366365","389559"
"Mav CC 1","Offsetting Account","1555209","1644545","1662424","1650406","1599376","1809527","1555457","1620381","1584305","1776640","1586833","1596377"
